ofertas,tipo_de_producto,disco_duro_tipo_de_disco_duro,grafica_salida_de_video,comunicaciones_conectividad,comunicaciones_version_bluetooth,comunicaciones_estandar_wifi,procesador_fabricante,disco_duro_numero_de_discos_duros_instalados,ram_tipo,sistema_operativo_arquitectura_bit,almacenamiento_lector_optico,comunicaciones_estandar_lan,otras_caracteristicas_certificado,tipo,propiedades_de_la_carcasa_tipo_de_caja,propiedades_de_la_carcasa_color,adecuado_para,procesador_numero_de_hilos_de_ejecucion,ram_numero_ranuras_memoria,precio_min,precio_max,precio_mean,medidas_y_peso_profundidad_cm,medidas_y_peso_ancho_cm,medidas_y_peso_peso_kg,procesador_cache_mb,ram_memoria_gb,ram_frecuencia_de_la_memoria_mhz,disco_duro_capacidad_de_memoria_ssd_gb,procesador_frecuencia_de_reloj_ghz,procesador_frecuencia_turbo_max_ghz,ram_extension_de_memoria_maxima_gb,medidas_y_peso_alto_cm,procesador_frecuencia_del_reloj_ghz,procesador_tdp_watts,titulo_freq,procesador_freq,grafica_tarjeta_freq,serie_freq,otras_caracteristicas_equipamiento_freq,procesador_nombre_clave_freq,propiedades_de_la_carcasa_alimentacion_freq,grafica_memoria_freq,procesador_tipo_freq,sistema_operativo_sistema_operativo_freq,procesador_numero_nucleos_freq,procesador_zocalo_de_cpu_freq,Categoria_General
2.0,Thin Client,memoria flash,DisplayPort,"wifi, Ethernet, Bluetooth",Bluetooth 5.3,,AMD,1.0,DDR4,,ninguno,Ethernet 10/100/1000,,Desktop,factor de forma pequeño (SFF),negro,empresas,4.0,2.0,757.93,949.73,853.83,20.0,3.5,1.12,2.0,8.0,3200.0,64.0,2.1,3.5,,20.0,2.1,15.0,1,12.0,391.0,,,89.0,15.0,3731.0,11.0,,397.0,,Specialized_PC
2.0,Thin Client,memoria flash,DisplayPort,"wifi, Ethernet, Bluetooth",Bluetooth 5.3,,AMD,1.0,DDR4,,ninguno,Ethernet 10/100/1000,,Desktop,factor de forma pequeño (SFF),negro,empresas,4.0,2.0,686.24,693.27,689.75,20.0,3.5,1.12,2.0,4.0,3200.0,32.0,2.1,3.5,,20.0,2.1,15.0,1,12.0,391.0,,,89.0,15.0,3731.0,11.0,8.0,397.0,,Specialized_PC
2.0,Thin Client,memoria flash,DisplayPort,"Ethernet, Bluetooth, wifi",,IEEE 802.11ax,Intel,1.0,DDR4,,ninguno,,,Desktop,factor de forma ultrapequeño (USFF),negro,,4.0,,763.21,834.39,798.8,20.0,3.5,,,8.0,3200.0,64.0,,2.6,,20.0,2.0,10.0,1,,715.0,106.0,,,4.0,,116.0,,397.0,,Specialized_PC
5.0,Thin Client,disco duro SSD,DisplayPort,Ethernet,,,,1.0,DDR4,64.0,ninguno,,,Desktop,factor de forma ultrapequeño (USFF),negro,,,,607.03,1092.67,849.85,20.0,3.5,1.3,,16.0,,256.0,,,,20.0,,,1,,715.0,106.0,2259.0,,9.0,3731.0,,,,,Specialized_PC
1.0,Thin Client,memoria flash,DisplayPort,"wifi, Ethernet, Bluetooth",Bluetooth 5.3,,AMD,1.0,DDR4,,ninguno,Ethernet 10/100/1000,,Desktop,factor de forma pequeño (SFF),negro,empresas,4.0,2.0,922.26,922.26,922.26,20.0,3.5,1.12,2.0,8.0,3200.0,64.0,2.1,3.5,32.0,20.0,2.1,15.0,1,12.0,391.0,,,89.0,15.0,3731.0,11.0,,397.0,,Specialized_PC
1.0,Thin Client,memoria flash,,Ethernet,,,AMD,1.0,,64.0,,Ethernet 10/100/1000,,Desktop,factor de forma pequeño (SFF),,empresas,,,2821.45,2821.45,2821.45,21.0,5.0,,,8.0,,32.0,,,,21.0,,,1,4.0,99.0,7.0,,,931.0,,,,,,Specialized_PC
1.0,Thin Client,memoria flash,,Ethernet,,,Intel,,DDR4,64.0,,,,Desktop,factor de forma ultrapequeño (USFF),negro,empresas,2.0,,650.74,650.74,650.74,13.5,13.5,0.4,4.0,4.0,2400.0,32.0,1.1,2.6,,3.0,,6.0,1,6.0,37.0,7.0,,37.0,4.0,3731.0,,12.0,51.0,14.0,Specialized_PC
1.0,Thin Client,memoria flash,,Ethernet,,,,,,,,,,Desktop,factor de forma ultrapequeño (USFF),negro,empresas,,,430.6,430.6,430.6,13.5,13.5,,,4.0,,32.0,,,,3.0,,,1,27.0,,7.0,,,931.0,,,,,,Specialized_PC
1.0,Thin Client,disco duro SSD,,Ethernet,,,AMD,1.0,,64.0,,Ethernet 10/100/1000,,Desktop,factor de forma pequeño (SFF),,empresas,,,3024.99,3024.99,3024.99,21.0,5.0,,,8.0,,128.0,,,,21.0,,,1,4.0,99.0,7.0,,,931.0,,,,,,Specialized_PC
1.0,Thin Client,memoria flash,DisplayPort,"wifi, Ethernet, Bluetooth",Bluetooth 5.3,,AMD,1.0,DDR4,,ninguno,Ethernet 10/100/1000,,Desktop,factor de forma pequeño (SFF),negro,empresas,4.0,2.0,674.0,674.0,674.0,20.0,3.5,1.12,2.0,4.0,3200.0,32.0,2.1,3.5,32.0,20.0,2.1,15.0,1,12.0,391.0,,,89.0,15.0,3731.0,11.0,8.0,397.0,,Specialized_PC
1.0,Thin Client,memoria flash,DisplayPort,"wifi, Ethernet, Bluetooth",Bluetooth 5.3,,AMD,1.0,DDR4,,ninguno,Ethernet 10/100/1000,,Desktop,factor de forma pequeño (SFF),negro,empresas,4.0,2.0,1537.09,1537.09,1537.09,20.0,3.5,1.12,2.0,8.0,3200.0,64.0,2.1,3.5,32.0,20.0,2.1,15.0,1,12.0,391.0,,,89.0,15.0,3731.0,11.0,,397.0,,Specialized_PC
1.0,Thin Client,memoria flash,DisplayPort,Ethernet,Bluetooth 5.0,IEEE 802.11ac,AMD,1.0,DDR4,,ninguno,Ethernet 10/100/1000,,Desktop,factor de forma pequeño (SFF),negro,empresas,8.0,2.0,2024.06,2024.06,2024.06,21.0,5.0,1.33,,8.0,2400.0,32.0,3.25,3.6,,21.0,,,1,4.0,99.0,7.0,,,56.0,,,,397.0,,Specialized_PC
1.0,Thin Client,disco duro SSD,,Ethernet,,,AMD,1.0,,,,Ethernet 10/100/1000,,Desktop,factor de forma pequeño (SFF),,empresas,,,3007.58,3007.58,3007.58,21.0,5.0,,,8.0,,128.0,,,,21.0,,,1,4.0,,7.0,,,931.0,,,,,,Specialized_PC
1.0,Thin Client,memoria flash,DisplayPort,"Ethernet, Bluetooth, wifi",,IEEE 802.11ax,Intel,1.0,DDR4,,ninguno,,,Desktop,factor de forma ultrapequeño (USFF),negro,,4.0,,1092.67,1092.67,1092.67,20.0,3.5,,,8.0,3200.0,32.0,,2.6,,20.0,2.0,10.0,1,,715.0,106.0,,,4.0,,116.0,8.0,397.0,,Specialized_PC
1.0,Thin Client,memoria flash,DisplayPort,"wifi, Ethernet, Bluetooth",Bluetooth 5.3,,AMD,1.0,DDR4,,ninguno,Ethernet 10/100/1000,,Desktop,factor de forma pequeño (SFF),negro,empresas,4.0,2.0,650.61,650.61,650.61,20.0,3.5,1.12,2.0,8.0,3200.0,32.0,2.1,3.5,,20.0,2.1,15.0,1,12.0,391.0,,,89.0,15.0,3731.0,11.0,8.0,397.0,,Specialized_PC
1.0,Thin Client,memoria flash,DisplayPort,Ethernet,,,Intel,1.0,DDR4,64.0,ninguno,,,Desktop,factor de forma ultrapequeño (USFF),negro,,4.0,,674.0,674.0,674.0,20.0,3.5,,,4.0,,32.0,,2.6,,20.0,2.0,10.0,1,,715.0,106.0,,,931.0,3731.0,116.0,8.0,397.0,,Specialized_PC
1.0,Thin Client,memoria flash,DisplayPort,"wifi, Ethernet, Bluetooth",Bluetooth 5.3,,AMD,1.0,DDR4,,ninguno,Ethernet 10/100/1000,,Desktop,factor de forma pequeño (SFF),negro,empresas,4.0,2.0,596.99,596.99,596.99,20.0,3.5,1.12,2.0,8.0,3200.0,64.0,2.1,3.5,32.0,20.0,2.1,15.0,1,12.0,391.0,,,89.0,15.0,3731.0,11.0,,397.0,,Specialized_PC
1.0,Thin Client,memoria flash,DisplayPort,"wifi, Ethernet, Bluetooth",Bluetooth 5.3,,AMD,1.0,DDR4,,ninguno,Ethernet 10/100/1000,,Desktop,factor de forma pequeño (SFF),negro,empresas,,,1009.0,1009.0,1009.0,20.0,3.5,,,8.0,,32.0,,3.5,32.0,20.0,2.1,,1,12.0,391.0,,,,15.0,3731.0,,4.0,397.0,,Specialized_PC
1.0,Thin Client,memoria flash,DisplayPort,"wifi, Ethernet, Bluetooth",Bluetooth 5.3,,AMD,1.0,DDR4,,ninguno,Ethernet 10/100/1000,,Desktop,factor de forma pequeño (SFF),negro,empresas,4.0,2.0,763.21,763.21,763.21,20.0,3.5,1.12,2.0,4.0,3200.0,32.0,2.1,3.5,32.0,20.0,2.1,15.0,1,12.0,391.0,,,89.0,15.0,3731.0,11.0,4.0,397.0,,Specialized_PC
1.0,Thin Client,memoria flash,DisplayPort,"wifi, Ethernet, Bluetooth",Bluetooth 5.3,,AMD,1.0,DDR4,,ninguno,Ethernet 10/100/1000,,Desktop,factor de forma pequeño (SFF),negro,empresas,4.0,2.0,834.91,834.91,834.91,20.0,3.5,1.12,2.0,8.0,3200.0,32.0,2.1,3.5,32.0,20.0,2.1,15.0,1,12.0,391.0,,,89.0,15.0,3731.0,11.0,4.0,397.0,,Specialized_PC
1.0,Thin Client,memoria flash,DisplayPort,"wifi, Ethernet, Bluetooth",Bluetooth 5.3,,AMD,1.0,DDR4,,ninguno,Ethernet 10/100/1000,,Desktop,factor de forma pequeño (SFF),negro,empresas,4.0,2.0,741.98,741.98,741.98,20.0,3.5,1.12,2.0,8.0,3200.0,32.0,2.1,3.5,32.0,20.0,2.1,15.0,1,12.0,391.0,,,89.0,15.0,3731.0,11.0,4.0,397.0,,Specialized_PC
1.0,Thin Client,memoria flash,,"Ethernet, Bluetooth, wifi",,IEEE 802.11ax,Intel,1.0,,,ninguno,,,Desktop,factor de forma ultrapequeño (USFF),negro,,4.0,,607.03,607.03,607.03,20.0,3.5,,,8.0,,32.0,,2.6,,20.0,2.0,10.0,1,,715.0,106.0,,,931.0,,116.0,8.0,397.0,,Specialized_PC
1.0,Thin Client,memoria flash,DisplayPort,"wifi, Ethernet, Bluetooth",Bluetooth 5.3,,AMD,1.0,DDR4,,ninguno,Ethernet 10/100/1000,,Desktop,factor de forma pequeño (SFF),negro,empresas,4.0,2.0,768.56,768.56,768.56,20.0,3.5,1.12,2.0,4.0,3200.0,32.0,2.1,3.5,32.0,20.0,2.1,15.0,1,12.0,391.0,,,89.0,15.0,3731.0,11.0,8.0,397.0,,Specialized_PC
1.0,Thin Client,,,"wifi, Bluetooth, Ethernet",,,AMD,,,,,,,Desktop,factor de forma ultrapequeño (USFF),,empresas,,,189.71,189.71,189.71,20.0,3.5,,,,,,,,16.0,20.0,,,1,1.0,1.0,7.0,,,931.0,,,,,,Specialized_PC
1.0,Thin Client,memoria flash,,"Ethernet, wifi, Bluetooth",,,AMD,1.0,,64.0,,,TCO Certified Desktops 8,Desktop,factor de forma pequeño (SFF),,empresas,,,590.0,590.0,590.0,20.0,3.5,,,8.0,,64.0,,,,20.0,,,1,1.0,3.0,,,,931.0,3731.0,,,,,Specialized_PC
